Name,Role,Category,一句话,Tag,Notes,Status,Batch,ID,Main Title,Name in Origin,Special Info,link_ig,link_linkedin,link_website,link_x
Benjamin Bardou,,Volumography,,"3D GS, Point Cloud",,Not started,2601,,"Filmmaker, Visual Artist",,,https://www.instagram.com/benjaminbardou/,,https://benjaminbardou.com/,
Chen Momo,,Volumography,,,,Not started,2601,,Photographer,陈墨墨,,,,http://www.chenmomo.com/,
Edmund Fraser,,Volumography,,,,Not started,2601,,"Photographer, Director",,,https://www.instagram.com/edmundfraser/?hl=en,,https://www.edmundfraser.co/,
FrānkǎnLīsà,,Volumography,,,,Not started,2601,,Researcher,,,https://www.instagram.com/frankanlisa/,,https://www.frankanlisa.com,
Frederik Heyman,Digital Artist,Volumography,,,,Not started,2601,,"Photographer, Artist",,,https://www.instagram.com/frederikheyman/?hl=en,,https://frederikheyman.com/,
Keijiro Takahashi,,Volumography,,,,Not started,2601,,Software Engineer,,,,,https://www.keijiro.tokyo/,
Nix Liu Xin,,Volumography,,,,Not started,2601,,"Designer, Director",,,https://www.instagram.com/nixliuxin,https://www.linkedin.com/in/nixliuxin/,liuxin.com,https://x.com/nixliuxin
oddviz,,Volumography,,,,Not started,2601,,Art Collective,,,https://www.instagram.com/oddviz/?hl=en,,https://www.oddviz.com/,
OldMediaArt,,Volumography,,,,Not started,2601,,Game Studio,旧媒介,,,,https://space.bilibili.com/3546633788721807,
RubenFro,,Volumography,,,,Not started,2601,,Visual Effect Artist and Director,,,https://www.instagram.com/rubenfro/?hl=en,,https://rubenfro.com/,
Shavonne Wong,,Volumography,,,,Not started,2601,,Photographer,,,,,https://www.shavonnewong.art/,
Yang Rui,,Volumography,,,,Not started,2601,Yang-Rui,Artist,杨睿,,https://www.instagram.com/y.angr/,,,
Yu Hao,,Volumography,,,,Not started,2601,,3D Artist,尉浩,,,,,
